"id","x","y","variant","corpus","year","text","text_ppmi","lect","cp","pinyin","variant_py"
"铁路/Na/CNA_CMN_20001114_wpr/114251",-0.0804911076710885,0.0954138376135194,"铁路","CNA",2000,"嫌疑人/Na 张宾/Nb ,/COMMACATEGORY<br>当场/D 缴获/VC/1.514 安非他命/Na<br>三点七/Neu/3.771 公斤/Nf 。/PERIODCATEGORY<br>沈阳/Nc/1.564 <b>铁路/Na</b><br>公安局/Nc/3.121 长春站/Nc/4.659<br>民警/Na/2.685 最近/VH 在/P<br>两/Neu 名/Nf 可疑/VH 旅客/Na/2.692<br>行/VA","嫌疑人/Na 张宾/Nb ,/COMMACATEGORY<br>当场/D 缴获/VC/1.514 安非他命/Na<br>三点七/Neu/3.771 公斤/Nf 。/PERIODCATEGORY<br>沈阳/Nc/1.564 <b>铁路/Na</b><br>公安局/Nc/3.121 长春站/Nc/4.659<br>民警/Na/2.685 最近/VH 在/P<br>两/Neu 名/Nf 可疑/VH 旅客/Na/2.692<br>行/VA","TW","railway_04048075-n","tiě_lù","铁路tiě_lù"
"铁路/Na/ZBN_CMN_20030911_wpr/47032",-0.0418828314620961,-0.0253885882854865,"铁路","ZBN",2003,"铁路/Na/4.163 目前/Nd 的/DE<br>沉重/Nv/2.903 负荷/Na 现状/Na<br>，/COMMACATEGORY 建设/VC/2.576<br>京沪/Nc/5.869 高速/Na/4.603<br><b>铁路/Na</b> ，/COMMACATEGORY<br>已/D 经/P 是/SHI 势在必行/VH<br>，/COMMACATEGORY 这/Nep<br>一点/Nd 与会/VA 专家/Na","铁路/Na/4.163 目前/Nd 的/DE<br>沉重/Nv/2.903 负荷/Na 现状/Na<br>，/COMMACATEGORY 建设/VC/2.576<br>京沪/Nc/5.869 高速/Na/4.603<br><b>铁路/Na</b> ，/COMMACATEGORY<br>已/D 经/P 是/SHI 势在必行/VH<br>，/COMMACATEGORY 这/Nep<br>一点/Nd 与会/VA 专家/Na","SG","railway_04048075-n","tiě_lù","铁路tiě_lù"
"轨道/Na/XIN_CMN_20001122_wpr/74073",0.13203370201619,-0.0732445908633987,"轨道","XIN",2000,"海/Na 上/Ncd/1.815 测控/VC/4.714<br>船/Na ,/COMMACATEGORY<br>圆满/VH 完成/VC 了/Di 从/P<br>近地/Na/7.494 <b>轨道/Na</b><br>卫星/Na/4.993 到/P 地球/Na/5.426<br>静止/VH/7.321 轨道/Na/4.895<br>卫星/Na/4.993 、/PAUSECATEGORY<br>从/P 卫星/Na/4.993 到/P","海/Na 上/Ncd/1.815 测控/VC/4.714<br>船/Na ,/COMMACATEGORY<br>圆满/VH 完成/VC 了/Di 从/P<br>近地/Na/7.494 <b>轨道/Na</b><br>卫星/Na/4.993 到/P 地球/Na/5.426<br>静止/VH/7.321 轨道/Na/4.895<br>卫星/Na/4.993 、/PAUSECATEGORY<br>从/P 卫星/Na/4.993 到/P","ML","railway_04048075-n","ɡuǐ_dǎo","轨道ɡuǐ_dǎo"
"铁路/Na/XIN_CMN_20030803_wpr/4582",-0.0815678800346134,-0.165744035849598,"铁路","XIN",2003,"(/PARENTHESISCATEGORY<br>国际/Nc )/PARENTHESISCATEGORY<br>阿根廷/Nc 和/Caa 智利/Nc 将/D<br>修建/VC/3.623 跨/VC/1.699<br>安第斯山/Nb/5.593 <b>铁路/Na</b><br>新华社/Nc 布宜诺斯艾利斯/Nc 8月/Nd<br>2日/Nd 电/Na (/PARENTHESISCATEGORY<br>记者/Na 沈安/Nb )/PARENTHESISCATEGORY<br>据/P","(/PARENTHESISCATEGORY<br>国际/Nc )/PARENTHESISCATEGORY<br>阿根廷/Nc 和/Caa 智利/Nc 将/D<br>修建/VC/3.623 跨/VC/1.699<br>安第斯山/Nb/5.593 <b>铁路/Na</b><br>新华社/Nc 布宜诺斯艾利斯/Nc 8月/Nd<br>2日/Nd 电/Na (/PARENTHESISCATEGORY<br>记者/Na 沈安/Nb )/PARENTHESISCATEGORY<br>据/P","ML","railway_04048075-n","tiě_lù","铁路tiě_lù"
"铁路/Na/CNA_CMN_20010112_wpr/84796",-0.107779568917026,-0.0896344726681238,"铁路","CNA",2001,"终于/D 浴火重生/VH 。/PERIODCATEGORY<br>集集/Nc/3.840 支线/Na/4.721<br>是/SHI 南投县/Nc 内/Ncd 唯一/VH<br>的/DE <b>铁路/Na</b> ,/COMMACATEGORY<br>多/Neqa 年/Nf 来/VA 的/DE<br>集集/Nc/3.840 小/VH 火车/Na/2.981<br>怀旧/VH/1.855 之/DE","终于/D 浴火重生/VH 。/PERIODCATEGORY<br>集集/Nc/3.840 支线/Na/4.721<br>是/SHI 南投县/Nc 内/Ncd 唯一/VH<br>的/DE <b>铁路/Na</b> ,/COMMACATEGORY<br>多/Neqa 年/Nf 来/VA 的/DE<br>集集/Nc/3.840 小/VH 火车/Na/2.981<br>怀旧/VH/1.855 之/DE","TW","railway_04048075-n","tiě_lù","铁路tiě_lù"
"轨道/Na/XIN_CMN_20030509_wpr/10206",0.137311198830023,-0.0621352442832299,"轨道","XIN",2003,"天文/Na/2.318 望远镜/Na/2.611<br>观看/VC 这/Nep 一/Neu 奇观/Na<br>。/PERIODCATEGORY 因/Cbb<br>火星/Na/5.265 运行/VA/5.005<br><b>轨道/Na</b> 的/DE 歪斜/VH/5.927<br>,/COMMACATEGORY 它/Nh/1.041<br>约/Da 每/Nes 两/Neu 年/Nf<br>零两/Neu 个/Nf","天文/Na/2.318 望远镜/Na/2.611<br>观看/VC 这/Nep 一/Neu 奇观/Na<br>。/PERIODCATEGORY 因/Cbb<br>火星/Na/5.265 运行/VA/5.005<br><b>轨道/Na</b> 的/DE 歪斜/VH/5.927<br>,/COMMACATEGORY 它/Nh/1.041<br>约/Da 每/Nes 两/Neu 年/Nf<br>零两/Neu 个/Nf","ML","railway_04048075-n","ɡuǐ_dǎo","轨道ɡuǐ_dǎo"
"轨道/Na/XIN_CMN_20030723_wpr/82283",0.11279525806234,-0.043969088256226,"轨道","XIN",2003,"结构/Na ,/COMMACATEGORY<br>其/Nep 内部/Ncd 的/DE 寂静/Nv<br>程度/Na 将/D 超过/VJ 在/P <b>轨道/Na</b><br>上/Ncd/1.815 运行/VA/5.005<br>的/DE 宇宙/Na/3.542 飞船/Na/4.790<br>。/PERIODCATEGORY (/PARENTHESISCATEGORY<br>国际/Nc )/PARENTHESISCATEGORY<br>国际/Nc","结构/Na ,/COMMACATEGORY<br>其/Nep 内部/Ncd 的/DE 寂静/Nv<br>程度/Na 将/D 超过/VJ 在/P <b>轨道/Na</b><br>上/Ncd/1.815 运行/VA/5.005<br>的/DE 宇宙/Na/3.542 飞船/Na/4.790<br>。/PERIODCATEGORY (/PARENTHESISCATEGORY<br>国际/Nc )/PARENTHESISCATEGORY<br>国际/Nc","ML","railway_04048075-n","ɡuǐ_dǎo","轨道ɡuǐ_dǎo"
"铁路/Na/CNA_CMN_20001006_wpr/17218",-0.0233787339842394,-0.0307508564038047,"铁路","CNA",2000,"旅游/Na 方式/Na 将/D 可/D 展现/VC<br>铁路/Na/4.163 迷人/Nv/2.125<br>的/DE 丰采/Na/4.353 ,/COMMACATEGORY<br><b>铁路/Na</b> 沿/P/2.270<br>线/Na/3.509 如/P 各/Nes<br>火车站/Nc/3.364 、/PAUSECATEGORY<br>隧道/Na/3.243 、/PAUSECATEGORY<br>桥樑/Na/1.877 、/PAUSECATEGORY","旅游/Na 方式/Na 将/D 可/D 展现/VC<br>铁路/Na/4.163 迷人/Nv/2.125<br>的/DE 丰采/Na/4.353 ,/COMMACATEGORY<br><b>铁路/Na</b> 沿/P/2.270<br>线/Na/3.509 如/P 各/Nes<br>火车站/Nc/3.364 、/PAUSECATEGORY<br>隧道/Na/3.243 、/PAUSECATEGORY<br>桥樑/Na/1.877 、/PAUSECATEGORY","TW","railway_04048075-n","tiě_lù","铁路tiě_lù"
"铁路/Na/CNA_CMN_20001212_wpr/27057",0.00834744458202254,-0.00732720503949194,"铁路","CNA",2000,"来/D 做/VC 调整/VC 。/PERIODCATEGORY<br>台湾/Nc/1.118 高铁/Na/1.505<br>说/VE ,/COMMACATEGORY<br>台湾/Nc/1.118 高速/Na/4.603<br><b>铁路/Na</b> 公司/Nc/1.216<br>所/D 选购/VC 的/DE 日本/Nc<br>新干/Na 线/Nf/2.248 核心/Na<br>机电/Na/1.963 系统/Na/2.025","来/D 做/VC 调整/VC 。/PERIODCATEGORY<br>台湾/Nc/1.118 高铁/Na/1.505<br>说/VE ,/COMMACATEGORY<br>台湾/Nc/1.118 高速/Na/4.603<br><b>铁路/Na</b> 公司/Nc/1.216<br>所/D 选购/VC 的/DE 日本/Nc<br>新干/Na 线/Nf/2.248 核心/Na<br>机电/Na/1.963 系统/Na/2.025","TW","railway_04048075-n","tiě_lù","铁路tiě_lù"
"轨道/Na/ZBN_CMN_20030826_wpr/16439",0.170541620417098,-0.0933087450347102,"轨道","ZBN",2003,"长/VH 24小时/Nd 37分/Nd ./FW<br>拥有/Nv 两/Neu 个/Nf 小/VH<br>月球/Na/4.786 火星/Na/5.265<br><b>轨道/Na</b> ：/COLONCATEGORY<br>火星/Na/5.265 离/VC/1.571<br>太阳/Na/4.661 距离/Na/2.308<br>是/SHI 地球/Na/5.426 的/DE<br>1.5/Neu/1.333 倍/Na","长/VH 24小时/Nd 37分/Nd ./FW<br>拥有/Nv 两/Neu 个/Nf 小/VH<br>月球/Na/4.786 火星/Na/5.265<br><b>轨道/Na</b> ：/COLONCATEGORY<br>火星/Na/5.265 离/VC/1.571<br>太阳/Na/4.661 距离/Na/2.308<br>是/SHI 地球/Na/5.426 的/DE<br>1.5/Neu/1.333 倍/Na","SG","railway_04048075-n","ɡuǐ_dǎo","轨道ɡuǐ_dǎo"
