"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"职员/Na/ZBN_CMN_20030819_wpr/5929",0.159999713015991,-0.0848564409221303,"职员","ZBN","2003","事发/VH/1.502 时/Ng ，/COMMACATEGORY<br>电梯/Na/2.337 里/Ncd 还/D<br>有/V_2 一/Neu 名/Nf/2.543<br>女/Na/3.637 <b>职员/Na</b><br>，/COMMACATEGORY 她/Nh<br>惊见/VE/2.928 医生/Na 露出/VC<br>惊栗/VH 的/DE 眼神/Na ，/COMMACATEGORY<br>在/P","事发/VH/1.502 时/Ng ，/COMMACATEGORY<br>电梯/Na/2.337 里/Ncd 还/D<br>有/V_2 一/Neu 名/Nf/2.543<br>女/Na/3.637 <b>职员/Na</b><br>，/COMMACATEGORY 她/Nh<br>惊见/VE/2.928 医生/Na 露出/VC<br>惊栗/VH 的/DE 眼神/Na ，/COMMACATEGORY<br>在/P","SG"
"书记/Na/CNA_CMN_20010117_wpr/99982",-0.0903194910065491,-0.0111042763745479,"书记","CNA","2001","市委/Na/6.913 书记/Na/4.622<br>。/PERIODCATEGORY 一九九八年/Nd/2.733<br>当选/VG/1.743 第九/Neu 届/Nf<br>中共/Nb/3.513 甘肃省/Nc/4.325<br>委副/Na/7.601 <b>书记/Na</b><br>、/PAUSECATEGORY/1.741<br>常委/Na/5.659 。/PERIODCATEGORY<br>今年/Nd 一月/Nd 起/Ng 任/VG/3.631<br>甘肃省/Nc/4.325 副/A/5.364<br>省长/Na/5.319","市委/Na/6.913 书记/Na/4.622<br>。/PERIODCATEGORY 一九九八年/Nd/2.733<br>当选/VG/1.743 第九/Neu 届/Nf<br>中共/Nb/3.513 甘肃省/Nc/4.325<br>委副/Na/7.601 <b>书记/Na</b><br>、/PAUSECATEGORY/1.741<br>常委/Na/5.659 。/PERIODCATEGORY<br>今年/Nd 一月/Nd 起/Ng 任/VG/3.631<br>甘肃省/Nc/4.325 副/A/5.364<br>省长/Na/5.319","TW"
"职员/Na/ZBN_CMN_20001222_wpr/25573",0.163964206789642,-0.0226037850668129,"职员","ZBN","2000","高/VH ，/COMMACATEGORY<br>只/Da 留下/VC 一/Neu 个/Nf<br>小洞口/Nc/7.258 让/VL/1.087<br>病人/Na/1.075 跟/P <b>职员/Na</b><br>讲话/VA ，/COMMACATEGORY<br>造成/VK 沟通/VC/1.457 上/Ng<br>时常/D/1.571 出现/Nv 问题/Na<br>。/PERIODCATEGORY 于是/Cbb/1.223","高/VH ，/COMMACATEGORY<br>只/Da 留下/VC 一/Neu 个/Nf<br>小洞口/Nc/7.258 让/VL/1.087<br>病人/Na/1.075 跟/P <b>职员/Na</b><br>讲话/VA ，/COMMACATEGORY<br>造成/VK 沟通/VC/1.457 上/Ng<br>时常/D/1.571 出现/Nv 问题/Na<br>。/PERIODCATEGORY 于是/Cbb/1.223","SG"
"书记/Na/XIN_CMN_20030624_wpr/30068",-0.0471814145179505,-0.00148134096416825,"书记","XIN","2003","2月/Nd ,/COMMACATEGORY<br>他/Nh 兼/VG/3.742 任/VG/3.631<br>粤/Nc 东/Ncd/1.383 地区/Nc<br>党委/Na/6.293 第一/Neu/1.902<br><b>书记/Na</b> ,/COMMACATEGORY<br>1952年/Nd/3.439 ,/COMMACATEGORY<br>任/VG/3.631 中/Ncd/1.489<br>南/Ncd 军区/Nc/2.698 公安部队/Na<br>政治/Na 委员/Na/4.662","2月/Nd ,/COMMACATEGORY<br>他/Nh 兼/VG/3.742 任/VG/3.631<br>粤/Nc 东/Ncd/1.383 地区/Nc<br>党委/Na/6.293 第一/Neu/1.902<br><b>书记/Na</b> ,/COMMACATEGORY<br>1952年/Nd/3.439 ,/COMMACATEGORY<br>任/VG/3.631 中/Ncd/1.489<br>南/Ncd 军区/Nc/2.698 公安部队/Na<br>政治/Na 委员/Na/4.662","ML"
"书记/Na/XIN_CMN_20001112_wpr/12661",-0.0587199136290563,-0.0183194828778463,"书记","XIN","2000","情况/Na 。/PERIODCATEGORY<br>航/VA 展执委会/Nc 秘书长/Na 、/PAUSECATEGORY/1.741<br>中共/Nb/3.513 珠海/Nc/2.282<br>市委/Na/6.913 副/A/5.364<br><b>书记/Na</b> 雷/Nb/1.616<br>于/P 蓝/VH 介绍/Na/2.494<br>说/VE/1.041 ,/COMMACATEGORY<br>截止/VH 到/P 今天/Nd 中午/Nd","情况/Na 。/PERIODCATEGORY<br>航/VA 展执委会/Nc 秘书长/Na 、/PAUSECATEGORY/1.741<br>中共/Nb/3.513 珠海/Nc/2.282<br>市委/Na/6.913 副/A/5.364<br><b>书记/Na</b> 雷/Nb/1.616<br>于/P 蓝/VH 介绍/Na/2.494<br>说/VE/1.041 ,/COMMACATEGORY<br>截止/VH 到/P 今天/Nd 中午/Nd","ML"
"书记/Na/XIN_CMN_20030407_wpr/10023",-0.0450328823025789,0.0236748709050603,"书记","XIN","2003","探险队/Na 已/D 抵达/VCL 加德满都/Nc<br>。/PERIODCATEGORY 据/P<br>西藏/Nc/2.854 登山队/Na/2.777<br>党/Na/2.627 支部/Nc/6.155<br><b>书记/Na</b> 、/PAUSECATEGORY/1.741<br>副队长/Na/4.604 尹逊平/Nb/7.583<br>介绍/Na/2.494 ,/COMMACATEGORY<br>探险队/Na 队长/Na/1.527 桑珠/Nb<br>7/Neu 日/Nf","探险队/Na 已/D 抵达/VCL 加德满都/Nc<br>。/PERIODCATEGORY 据/P<br>西藏/Nc/2.854 登山队/Na/2.777<br>党/Na/2.627 支部/Nc/6.155<br><b>书记/Na</b> 、/PAUSECATEGORY/1.741<br>副队长/Na/4.604 尹逊平/Nb/7.583<br>介绍/Na/2.494 ,/COMMACATEGORY<br>探险队/Na 队长/Na/1.527 桑珠/Nb<br>7/Neu 日/Nf","ML"
"职员/Na/XIN_CMN_20001109_wpr/30803",0.134438043949336,0.0436683300192033,"职员","XIN","2000","采访/VC 了/Di 其他/Neqa/1.414<br>出租车/Na 司机/Na/1.185 及/Caa<br>县/Nc 农业/Na 银行/Nc/2.670<br>的/DE <b>职员/Na</b> ,/COMMACATEGORY<br>他们/Nh 都/D 说/VE ,/COMMACATEGORY<br>人口/Na 普查/Na 收/VC 了/Di<br>费/VJ","采访/VC 了/Di 其他/Neqa/1.414<br>出租车/Na 司机/Na/1.185 及/Caa<br>县/Nc 农业/Na 银行/Nc/2.670<br>的/DE <b>职员/Na</b> ,/COMMACATEGORY<br>他们/Nh 都/D 说/VE ,/COMMACATEGORY<br>人口/Na 普查/Na 收/VC 了/Di<br>费/VJ","ML"
"书记/Na/XIN_CMN_20030519_wpr/10194",-0.300724597364658,-0.00504103138254714,"书记","XIN","2003","重/VH 要/VE 的/DE 玩具/Na<br>出口/Nv 生产/Nv 基地/Nc 。/PERIODCATEGORY<br>澄海/Na/4.665 区委/Na/6.846<br><b>书记/Na</b> 陈国光/Nb/6.889<br>表示/VE :/COLONCATEGORY/1.036<br>“/PARENTHESISCATEGORY<br>澄海/Na/4.665 要/D 乘势/D<br>而/Cbb 上/Ncd ,/COMMACATEGORY","重/VH 要/VE 的/DE 玩具/Na<br>出口/Nv 生产/Nv 基地/Nc 。/PERIODCATEGORY<br>澄海/Na/4.665 区委/Na/6.846<br><b>书记/Na</b> 陈国光/Nb/6.889<br>表示/VE :/COLONCATEGORY/1.036<br>“/PARENTHESISCATEGORY<br>澄海/Na/4.665 要/D 乘势/D<br>而/Cbb 上/Ncd ,/COMMACATEGORY","ML"
"店员/Na/CNA_CMN_20030902_wpr/6081",0.0897703679513469,-0.0581062078668535,"店员","CNA","2003","命丧/Na 当场/D/3.299 。/PERIODCATEGORY<br>伊斯腾/Nb 市/Nc 警方/Na/1.260<br>今天/Nd 查明/VE/3.747 该/Nes/1.586<br>名/Nf/2.301 <b>店员/Na</b><br>是/SHI 不久/Nd/2.096 前/Ng<br>出院/VA/2.545 的/DE 一/Neu<br>名/Nf/2.301 精神病患/Na 。/PERIODCATEGORY<br>据/P","命丧/Na 当场/D/3.299 。/PERIODCATEGORY<br>伊斯腾/Nb 市/Nc 警方/Na/1.260<br>今天/Nd 查明/VE/3.747 该/Nes/1.586<br>名/Nf/2.301 <b>店员/Na</b><br>是/SHI 不久/Nd/2.096 前/Ng<br>出院/VA/2.545 的/DE 一/Neu<br>名/Nf/2.301 精神病患/Na 。/PERIODCATEGORY<br>据/P","TW"
"店员/Na/CNA_CMN_20001128_wpr/47725",0.163065104965106,-0.109483963248992,"店员","CNA","2000","闯入/VCL 位于/VCL 兴安路/Na<br>的/DE 网际/Nc 网路店/Nc ,/COMMACATEGORY<br>威胁/VC/4.023 二/Neu 名/Nf/2.301<br><b>店员/Na</b> 交出/VC/4.631<br>营业所/Nc/7.502 得/DE 及/Caa<br>个人/Nh 财物/Na 后/Ng/1.035<br>逃逸/VA 。/PERIODCATEGORY<br>警方/Na/1.260","闯入/VCL 位于/VCL 兴安路/Na<br>的/DE 网际/Nc 网路店/Nc ,/COMMACATEGORY<br>威胁/VC/4.023 二/Neu 名/Nf/2.301<br><b>店员/Na</b> 交出/VC/4.631<br>营业所/Nc/7.502 得/DE 及/Caa<br>个人/Nh 财物/Na 后/Ng/1.035<br>逃逸/VA 。/PERIODCATEGORY<br>警方/Na/1.260","TW"
"职员/Na/ZBN_CMN_20030404_wpr/78754",0.0561888590879878,0.0346490243470825,"职员","ZBN","2003","会员/Na/1.244 中/Ng ，/COMMACATEGORY<br>护士/Na/1.764 各/Nes 占/VJ<br>一半/Neqa/1.466 。/PERIODCATEGORY<br>医药/Na/1.555 行业/Na/1.012<br><b>职员/Na</b> 联合会/Na/3.550<br>会长/Na 谢秀慧/Nb/6.342 说/VE<br>，/COMMACATEGORY 非典型肺/Na<br>炎/Na 事件/Na 是/SHI 无法/D","会员/Na/1.244 中/Ng ，/COMMACATEGORY<br>护士/Na/1.764 各/Nes 占/VJ<br>一半/Neqa/1.466 。/PERIODCATEGORY<br>医药/Na/1.555 行业/Na/1.012<br><b>职员/Na</b> 联合会/Na/3.550<br>会长/Na 谢秀慧/Nb/6.342 说/VE<br>，/COMMACATEGORY 非典型肺/Na<br>炎/Na 事件/Na 是/SHI 无法/D","SG"
"书记/Na/XIN_CMN_20030709_wpr/24893",-0.12536960023527,-0.00606761301562264,"书记","XIN","2003","并/Cbb 帮/P 助/VF 其/Nep<br>解决/VC 实际/VH 困难/Na 。/PERIODCATEGORY<br>江苏/Nc/3.486 省委/Na/6.756<br><b>书记/Na</b> 李源潮/Nb/7.082<br>、/PAUSECATEGORY/1.741<br>省长/Na/5.319 梁保华/Nb/5.909<br>、/PAUSECATEGORY/1.741<br>南京/Nc/1.791 市委/Na/6.913<br>书记/Na/4.622 罗志军/Nb/6.889<br>到/VCL","并/Cbb 帮/P 助/VF 其/Nep<br>解决/VC 实际/VH 困难/Na 。/PERIODCATEGORY<br>江苏/Nc/3.486 省委/Na/6.756<br><b>书记/Na</b> 李源潮/Nb/7.082<br>、/PAUSECATEGORY/1.741<br>省长/Na/5.319 梁保华/Nb/5.909<br>、/PAUSECATEGORY/1.741<br>南京/Nc/1.791 市委/Na/6.913<br>书记/Na/4.622 罗志军/Nb/6.889<br>到/VCL","ML"
"职员/Na/ZBN_CMN_20030413_wpr/85584",0.0919519581492374,-0.0567347107444989,"职员","ZBN","2003","还要/Dfa 多/VH 。/PERIODCATEGORY<br>这/Nep 名/Nf/2.543 不/D<br>愿/VK/1.324 透露/VE/1.806<br>姓名/Na/2.711 的/DE <b>职员/Na</b><br>在/P 接受/VC 电话/Na/1.257<br>访问/VC 时/Ng 说/VE ：/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>真的/D 很/Dfa","还要/Dfa 多/VH 。/PERIODCATEGORY<br>这/Nep 名/Nf/2.543 不/D<br>愿/VK/1.324 透露/VE/1.806<br>姓名/Na/2.711 的/DE <b>职员/Na</b><br>在/P 接受/VC 电话/Na/1.257<br>访问/VC 时/Ng 说/VE ：/COLONCATEGORY<br>“/PARENTHESISCATEGORY<br>真的/D 很/Dfa","SG"
