"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"住宅/Na/CNA_CMN_20001108_wpr/34057",-0.536828317636998,0.106563595455039,"住宅","CNA","2000","娘/Na 周丽梅/Nb 带/VC 着/Di<br>三/Neu 岁/Nf 的/DE 女儿/Na<br>谢佩如/Nb/6.892 在/P <b>住宅/Na</b><br>引火/VA/4.039 自杀/VA 的/DE<br>意外/Na ,/COMMACATEGORY<br>母女/Na 两/Neu 人/Na 在/P<br>送医/Nv","娘/Na 周丽梅/Nb 带/VC 着/Di<br>三/Neu 岁/Nf 的/DE 女儿/Na<br>谢佩如/Nb/6.892 在/P <b>住宅/Na</b><br>引火/VA/4.039 自杀/VA 的/DE<br>意外/Na ,/COMMACATEGORY<br>母女/Na 两/Neu 人/Na 在/P<br>送医/Nv","TW"
"房子/Na/ZBN_CMN_20030912_wpr/44302",0.00467711230758146,-0.0602986564145271,"房子","ZBN","2003","的/DE 责任/Na 太多/VH/1.778<br>，/COMMACATEGORY 家庭/Na/1.213<br>、/PAUSECATEGORY 感情/Na<br>、/PAUSECATEGORY 子女/Na<br>、/PAUSECATEGORY <b>房子/Na</b><br>、/PAUSECATEGORY 汽车/Na/2.229<br>、/PAUSECATEGORY 文/Na<br>凭/P ……/ETCCATEGORY 不能/D<br>完全/D 以/P 个人/Nh","的/DE 责任/Na 太多/VH/1.778<br>，/COMMACATEGORY 家庭/Na/1.213<br>、/PAUSECATEGORY 感情/Na<br>、/PAUSECATEGORY 子女/Na<br>、/PAUSECATEGORY <b>房子/Na</b><br>、/PAUSECATEGORY 汽车/Na/2.229<br>、/PAUSECATEGORY 文/Na<br>凭/P ……/ETCCATEGORY 不能/D<br>完全/D 以/P 个人/Nh","SG"
"房屋/Na/XIN_CMN_20030717_wpr/32509",-0.0917048798651605,0.139428806980393,"房屋","XIN","2003","经济/Na 损失/Na 111.92/Neu<br>亿/Neu 元/Nf 。/PERIODCATEGORY<br>目前/Nd 除/P 水淹/Na/4.423<br>浸泡/VB/3.436 <b>房屋/Na</b><br>倒塌/VA/6.466 数量/Na 还/D<br>在/P 增加/Nv 外/Ng ,/COMMACATEGORY<br>其/Nep 灾情/Na/1.542 相对/Nv/1.398","经济/Na 损失/Na 111.92/Neu<br>亿/Neu 元/Nf 。/PERIODCATEGORY<br>目前/Nd 除/P 水淹/Na/4.423<br>浸泡/VB/3.436 <b>房屋/Na</b><br>倒塌/VA/6.466 数量/Na 还/D<br>在/P 增加/Nv 外/Ng ,/COMMACATEGORY<br>其/Nep 灾情/Na/1.542 相对/Nv/1.398","ML"
"住宅/Na/XIN_CMN_20030528_wpr/15014",0.123876002819327,0.00488285565282461,"住宅","XIN","2003","中心/Nc 了解到/VK ,/COMMACATEGORY<br>该/Nes 中心/Nc 将/D 对/P 现有/A/1.984<br>的/DE 健康/VH/1.867 <b>住宅/Na</b><br>标准/Na/1.465 做/VC 进一步/D<br>细化/VHC/5.299 ,/COMMACATEGORY<br>如/Cbb 对/P 天井/Nc 、/PAUSECATEGORY<br>水封/Na","中心/Nc 了解到/VK ,/COMMACATEGORY<br>该/Nes 中心/Nc 将/D 对/P 现有/A/1.984<br>的/DE 健康/VH/1.867 <b>住宅/Na</b><br>标准/Na/1.465 做/VC 进一步/D<br>细化/VHC/5.299 ,/COMMACATEGORY<br>如/Cbb 对/P 天井/Nc 、/PAUSECATEGORY<br>水封/Na","ML"
"住房/Na/XIN_CMN_20030918_wpr/4986",0.0682111720877886,0.0130675609933101,"住房","XIN","2003","住房/Na/5.484 实物/Na/4.783<br>分配/Nv/4.275 已经/D 停止/VF<br>,/COMMACATEGORY 多数/Neqa<br>城市/Na/1.842 实行/VC/2.086<br>了/Di <b>住房/Na</b> 分配/Nv/4.275<br>货币/Na/3.089 化/VG/2.628<br>,/COMMACATEGORY 经济适用房/Nc/6.191<br>建设/Na/2.087 取得/Nv 重要/Nv<br>进展/Nv ,/COMMACATEGORY","住房/Na/5.484 实物/Na/4.783<br>分配/Nv/4.275 已经/D 停止/VF<br>,/COMMACATEGORY 多数/Neqa<br>城市/Na/1.842 实行/VC/2.086<br>了/Di <b>住房/Na</b> 分配/Nv/4.275<br>货币/Na/3.089 化/VG/2.628<br>,/COMMACATEGORY 经济适用房/Nc/6.191<br>建设/Na/2.087 取得/Nv 重要/Nv<br>进展/Nv ,/COMMACATEGORY","ML"
"住宅/Na/XIN_CMN_20030518_wpr/14919",0.0541956903398741,0.0344168475146751,"住宅","XIN","2003","。/PERIODCATEGORY 日本/Nc<br>正在/D 提倡/VE/1.899 数字/Na<br>化/VG/1.862 住宅/Na/4.072<br>。/PERIODCATEGORY 这/Nep<br>种/Nf <b>住宅/Na</b> 必备/A/2.866<br>有线/A/1.758 通信网/Na/3.395<br>、/PAUSECATEGORY 卫星电视台/Nc<br>的/DE 数字电视网/Na 和/Caa 移动/Nv<br>通信网/Na/3.395","。/PERIODCATEGORY 日本/Nc<br>正在/D 提倡/VE/1.899 数字/Na<br>化/VG/1.862 住宅/Na/4.072<br>。/PERIODCATEGORY 这/Nep<br>种/Nf <b>住宅/Na</b> 必备/A/2.866<br>有线/A/1.758 通信网/Na/3.395<br>、/PAUSECATEGORY 卫星电视台/Nc<br>的/DE 数字电视网/Na 和/Caa 移动/Nv<br>通信网/Na/3.395","ML"
"住宅/Na/ZBN_CMN_20030921_wpr/32218",-0.170474309686576,0.0517106426239516,"住宅","ZBN","2003","宣布/VE 戒严/VH 。/PERIODCATEGORY<br>目击者/Na 说/VE ，/COMMACATEGORY<br>以/P 士兵/Na 闯入/Nv/3.332<br>巴人/Na/3.224 <b>住宅/Na</b><br>和/Caa 商店/Nc/3.299 搜捕巴/Na/6.892<br>武装/VC 人员/Na 。/PERIODCATEGORY<br>以/P 军方/Na 发言人/Na 证实/VE","宣布/VE 戒严/VH 。/PERIODCATEGORY<br>目击者/Na 说/VE ，/COMMACATEGORY<br>以/P 士兵/Na 闯入/Nv/3.332<br>巴人/Na/3.224 <b>住宅/Na</b><br>和/Caa 商店/Nc/3.299 搜捕巴/Na/6.892<br>武装/VC 人员/Na 。/PERIODCATEGORY<br>以/P 军方/Na 发言人/Na 证实/VE","SG"
"住宅/Na/XIN_CMN_20010119_wpr/49208",0.0120499975406601,0.0219366031650386,"住宅","XIN","2001","在/P 去年/Nd 新/VH 开工/VH/2.311<br>的/DE 住宅/Na/4.072 中/Ng<br>,/COMMACATEGORY 单/A/1.940<br>栋/Nf/4.262 <b>住宅/Na</b><br>占/VJ/1.508 126万/Neu/5.100<br>套/Nf/1.973 ,/COMMACATEGORY<br>比/P 前年/Nd 下降/VA 了/Di<br>5.4/Neu/2.936 %/Nf","在/P 去年/Nd 新/VH 开工/VH/2.311<br>的/DE 住宅/Na/4.072 中/Ng<br>,/COMMACATEGORY 单/A/1.940<br>栋/Nf/4.262 <b>住宅/Na</b><br>占/VJ/1.508 126万/Neu/5.100<br>套/Nf/1.973 ,/COMMACATEGORY<br>比/P 前年/Nd 下降/VA 了/Di<br>5.4/Neu/2.936 %/Nf","ML"
"房屋/Na/ZBN_CMN_20030414_wpr/10948",-0.0865331713615233,0.0717656524834598,"房屋","ZBN","2003","的/DE 经验/Na ，/COMMACATEGORY<br>那/Nep 就是/SHI 当/P 您/Nh/1.131<br>走进/VCL 一/Neu 幢/Nf/5.194<br><b>房屋/Na</b> 或/Caa/1.177<br>进入工/Na/6.438 厂/Nc 的/DE<br>一/Neu 种/Nf 感觉/Na 。/PERIODCATEGORY<br>如果/Cbb ，/COMMACATEGORY","的/DE 经验/Na ，/COMMACATEGORY<br>那/Nep 就是/SHI 当/P 您/Nh/1.131<br>走进/VCL 一/Neu 幢/Nf/5.194<br><b>房屋/Na</b> 或/Caa/1.177<br>进入工/Na/6.438 厂/Nc 的/DE<br>一/Neu 种/Nf 感觉/Na 。/PERIODCATEGORY<br>如果/Cbb ，/COMMACATEGORY","SG"
"住宅/Na/ZBN_CMN_20001215_wpr/16677",0.0551931995030615,-0.0879966460648093,"住宅","ZBN","2000","，/COMMACATEGORY 因此/Cbb<br>他们/Nh 较/Dfa 可能/VH 为了/P<br>孩子/Na 而/Cbb 提升到/VC/4.835<br>私人/Nh/4.877 <b>住宅/Na</b><br>。/PERIODCATEGORY 卢美玉/Nb/5.218<br>也/D 指出/VE ，/COMMACATEGORY<br>马来/Nc 家庭/Na/1.454 通常/D<br>比较/Dfa 安于/VJ","，/COMMACATEGORY 因此/Cbb<br>他们/Nh 较/Dfa 可能/VH 为了/P<br>孩子/Na 而/Cbb 提升到/VC/4.835<br>私人/Nh/4.877 <b>住宅/Na</b><br>。/PERIODCATEGORY 卢美玉/Nb/5.218<br>也/D 指出/VE ，/COMMACATEGORY<br>马来/Nc 家庭/Na/1.454 通常/D<br>比较/Dfa 安于/VJ","SG"
"房屋/Na/XIN_CMN_20030404_wpr/60977",-0.0872270717970928,0.0171902040667716,"房屋","XIN","2003","并/Cbb 视察/VE 了/Di 一/Neu<br>处/Nf/2.410 被/P/1.683<br>美英/Nb/1.152 联军/Na/1.040<br>炸毁/VC/4.280 的/DE <b>房屋/Na</b><br>。/PERIODCATEGORY 从/P<br>电视/Na 画面/Na/2.099 上/Ncd<br>可以/VH 看到/VC 天空/Nc 中/Ncd<br>黑烟/Na","并/Cbb 视察/VE 了/Di 一/Neu<br>处/Nf/2.410 被/P/1.683<br>美英/Nb/1.152 联军/Na/1.040<br>炸毁/VC/4.280 的/DE <b>房屋/Na</b><br>。/PERIODCATEGORY 从/P<br>电视/Na 画面/Na/2.099 上/Ncd<br>可以/VH 看到/VC 天空/Nc 中/Ncd<br>黑烟/Na","ML"
